system:index,dong,grid_id,gu,mean,.geo
000000000000000007fa,불광1동,G_2193,은평구,273.49796047999996,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.615759152281846]}"
000000000000000007fb,불광1동,G_2194,은평구,278.47117958,"{""type"":""Point"",""coordinates"":[126.94302651981332,37.615759152281846]}"
000000000000000007fc,불광1동,G_2195,은평구,276.53828927,"{""type"":""Point"",""coordinates"":[126.94852905051324,37.615759152281846]}"
0000000000000000081e,불광1동,G_2231,은평구,275.43768682999996,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.62026284434582]}"
0000000000000000081f,불광1동,G_2232,은평구,277.29879872,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.62026284434582]}"
00000000000000000821,불광1동,G_2234,은평구,272.82290152999997,"{""type"":""Point"",""coordinates"":[126.94302651981332,37.62026284434582]}"
00000000000000000822,불광1동,G_2235,은평구,276.71602630999996,"{""type"":""Point"",""coordinates"":[126.94852905051324,37.62026284434582]}"
00000000000000000846,불광1동,G_2274,은평구,275.43597782,"{""type"":""Point"",""coordinates"":[126.94302651981332,37.624762077308745]}"
00000000000000000847,불광1동,G_2275,은평구,272.47255448,"{""type"":""Point"",""coordinates"":[126.94852905051324,37.624762077308745]}"
0000000000000000081d,불광2동,G_2230,은평구,276.321245,"{""type"":""Point"",""coordinates"":[126.92102977431666,37.62026284434582]}"
00000000000000000820,불광2동,G_2233,은평구,273.13052333,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.62026284434582]}"
00000000000000000842,불광2동,G_2270,은평구,276.09565568,"{""type"":""Point"",""coordinates"":[126.92102977431666,37.624762077308745]}"
00000000000000000843,불광2동,G_2271,은평구,277.2612005,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.624762077308745]}"
00000000000000000844,불광2동,G_2272,은평구,275.98457003,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.624762077308745]}"
00000000000000000845,불광2동,G_2273,은평구,274.40886280999996,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.624762077308745]}"
00000000000000000867,불광2동,G_2309,은평구,275.43597782,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.62926131027167]}"
000000000000000006a5,수색동,G_1819,은평구,275.81366902999997,"{""type"":""Point"",""coordinates"":[126.89902856971896,37.57976082947737]}"
